timestamp,sensor_0,sensor_1,sensor_2,sensor_3,sensor_4,sensor_5
2026-08-09T16:33:33.569943,45,40,38,39,49,42
2026-08-09T16:33:34.571952,46,42,38,39,49,44
2026-08-09T16:33:35.574354,46,40,38,40,48,43
2026-08-09T16:33:36.578671,46,40,38,40,49,44
2026-08-09T16:33:37.581900,48,40,38,40,51,43
2026-08-09T16:33:38.586014,46,38,39,39,49,42
2026-08-09T16:33:39.588957,47,40,40,40,51,43
2026-08-09T16:33:40.589088,46,38,37,40,50,44
2026-08-09T16:33:41.592474,45,40,38,40,51,43
2026-08-09T16:33:42.595768,45,38,38,40,51,43
2026-08-09T16:33:43.598680,47,41,39,42,53,45
2026-08-09T16:33:44.598728,45,38,38,42,52,43
2026-08-09T16:33:45.602470,46,41,39,45,53,46
2026-08-09T16:33:46.604570,45,40,39,43,52,46
2026-08-09T16:33:47.605080,45,40,39,43,52,46
2026-08-09T16:33:48.608776,45,40,40,42,52,46
2026-08-09T16:33:49.612411,45,41,40,42,52,47
2026-08-09T16:33:50.614682,45,42,40,43,52,47
2026-08-09T16:33:51.619608,46,42,40,43,52,47
2026-08-09T16:33:52.622817,48,43,39,43,53,47
2026-08-09T16:33:53.626780,47,41,40,42,53,46
2026-08-09T16:33:54.629765,47,41,39,42,53,47
2026-08-09T16:33:55.632885,48,41,40,43,51,46
2026-08-09T16:33:56.636944,47,40,38,42,52,47
2026-08-09T16:33:57.640161,48,42,39,44,51,48
2026-08-09T16:33:58.644062,47,41,39,43,52,47
2026-08-09T16:33:59.647124,47,42,39,43,50,48
2026-08-09T16:34:00.650778,48,41,40,43,50,47
2026-08-09T16:34:01.654449,47,41,39,42,49,47
2026-08-09T16:34:02.657550,48,41,39,42,49,47
2026-08-09T16:34:03.661460,46,41,39,41,49,45
2026-08-09T16:34:04.665063,47,42,39,41,49,46
2026-08-09T16:34:05.668792,45,42,38,41,49,44
2026-08-09T16:34:06.671944,45,40,39,40,48,44
2026-08-09T16:34:07.675167,46,42,39,41,49,44
2026-08-09T16:34:08.678715,45,41,38,39,48,43
2026-08-09T16:34:09.682590,45,40,38,40,49,43
2026-08-09T16:34:10.685859,46,41,37,39,48,43
2026-08-09T16:34:11.689164,46,40,38,40,48,43
