timestamp,sensor_0,sensor_1,sensor_2,sensor_3,sensor_4,sensor_5
2026-08-11T06:43:53.095441,41,44,95,55,79,82
2026-08-11T06:43:54.009985,42,46,97,57,80,82
2026-08-11T06:43:54.063559,42,46,97,58,80,83
2026-08-11T06:43:54.116359,41,45,96,57,79,83
2026-08-11T06:43:54.169607,42,46,96,58,79,83
2026-08-11T06:43:54.227165,43,46,97,57,80,84
2026-08-11T06:43:54.280235,42,46,96,57,79,83
2026-08-11T06:43:54.342353,43,46,97,58,80,84
2026-08-11T06:43:54.407589,42,46,96,58,80,84
2026-08-11T06:43:54.460569,42,45,97,58,79,83
2026-08-11T06:43:54.524723,42,46,97,58,80,83
2026-08-11T06:43:54.575541,42,46,96,57,79,84
2026-08-11T06:43:54.625541,42,46,96,58,80,83
2026-08-11T06:43:54.677565,42,45,96,57,80,84
2026-08-11T06:43:54.743300,43,46,97,58,79,83
2026-08-11T06:43:54.798895,42,46,96,58,80,84
2026-08-11T06:43:54.849389,42,46,96,57,80,82
2026-08-11T06:43:54.907576,43,45,97,58,80,83
2026-08-11T06:43:54.960539,42,45,97,58,80,83
2026-08-11T06:43:55.026357,42,45,96,57,79,82
2026-08-11T06:43:55.078899,42,46,96,58,80,83
2026-08-11T06:43:55.141268,42,46,96,57,79,82
2026-08-11T06:43:55.192515,41,45,96,57,79,82
2026-08-11T06:43:55.243687,42,45,96,58,80,83
2026-08-11T06:43:55.296107,41,46,96,57,79,83
2026-08-11T06:43:55.358330,42,46,96,57,80,84
2026-08-11T06:43:55.408432,41,45,96,57,79,83
2026-08-11T06:43:55.476207,43,45,96,57,79,83
2026-08-11T06:43:55.542386,43,46,98,59,80,84
2026-08-11T06:43:55.593903,45,49,101,62,83,90
2026-08-11T06:43:55.644136,49,53,105,65,86,93
2026-08-11T06:43:55.694250,51,57,109,70,88,97
2026-08-11T06:43:55.746625,53,59,110,70,89,99
2026-08-11T06:43:55.800042,55,60,110,70,89,100
2026-08-11T06:43:55.853078,53,59,109,70,89,99
2026-08-11T06:43:55.906148,54,59,109,70,89,99
2026-08-11T06:43:55.959866,58,63,113,73,92,103
2026-08-11T06:43:56.011932,54,59,109,70,90,100
2026-08-11T06:43:56.061964,52,55,105,67,88,95
2026-08-11T06:43:56.127894,51,56,103,67,87,94
2026-08-11T06:43:56.193308,52,58,100,66,86,93
2026-08-11T06:43:56.258959,55,61,100,69,87,95
2026-08-11T06:43:56.308984,52,57,94,65,84,90
2026-08-11T06:43:56.360833,53,58,94,65,83,90
2026-08-11T06:43:56.426736,49,53,88,60,79,83
2026-08-11T06:43:56.480190,48,52,82,59,78,80
2026-08-11T06:43:56.533094,44,48,74,54,72,74
2026-08-11T06:43:56.586658,41,43,63,48,66,65
2026-08-11T06:43:56.640157,41,43,60,47,64,62
2026-08-11T06:43:56.692859,40,43,57,46,62,61
2026-08-11T06:43:56.743846,40,42,56,45,61,59
2026-08-11T06:43:56.795124,40,42,51,43,57,55
2026-08-11T06:43:56.848947,39,41,50,44,57,55
2026-08-11T06:43:56.910243,39,41,50,44,58,55
2026-08-11T06:43:56.960766,40,42,51,43,57,56
2026-08-11T06:43:57.011577,40,42,51,43,57,56
2026-08-11T06:43:57.061915,40,42,52,43,57,56
2026-08-11T06:43:57.114503,39,41,51,43,58,56
2026-08-11T06:43:57.167753,39,41,50,43,57,55
2026-08-11T06:43:57.226027,39,41,50,43,57,55
2026-08-11T06:43:57.279067,40,41,50,43,58,56
2026-08-11T06:43:57.331865,39,41,50,43,58,55
2026-08-11T06:43:57.393638,40,41,52,43,57,54
2026-08-11T06:43:57.446960,39,41,52,43,57,54
2026-08-11T06:43:57.498669,39,42,50,43,58,55
2026-08-11T06:43:57.557509,40,42,50,43,57,55
2026-08-11T06:43:57.610809,42,45,52,45,57,57
2026-08-11T06:43:57.676006,41,42,51,44,57,55
2026-08-11T06:43:57.727129,40,42,50,43,56,54
2026-08-11T06:43:57.778885,41,43,50,45,56,56
2026-08-11T06:43:57.841046,44,46,55,46,57,58
2026-08-11T06:43:57.893512,42,44,56,47,58,58
2026-08-11T06:43:57.946650,43,46,61,49,60,61
2026-08-11T06:43:57.999802,44,46,62,49,61,61
2026-08-11T06:43:58.058186,42,43,64,49,62,62
2026-08-11T06:43:58.110531,45,48,70,52,64,66
2026-08-11T06:43:58.163383,50,54,72,57,66,72
2026-08-11T06:43:58.224674,49,52,71,55,65,69
2026-08-11T06:43:58.275215,50,52,72,56,66,69
2026-08-11T06:43:58.326586,48,51,71,56,66,70
2026-08-11T06:43:58.380336,49,52,72,56,66,69
2026-08-11T06:43:58.434180,50,51,71,56,66,70
2026-08-11T06:43:58.490908,48,52,71,56,66,70
2026-08-11T06:43:58.543897,48,52,71,55,65,69
2026-08-11T06:43:58.597882,48,52,70,55,66,70
2026-08-11T06:43:58.650521,48,52,72,55,66,70
2026-08-11T06:43:58.708458,56,59,82,63,72,80
2026-08-11T06:43:58.760909,56,60,85,64,73,81
2026-08-11T06:43:58.815009,59,65,92,68,76,85
2026-08-11T06:43:58.876435,62,67,99,73,81,91
2026-08-11T06:43:58.929349,58,63,100,71,81,91
2026-08-11T06:43:58.982960,55,59,100,69,82,90
2026-08-11T06:43:59.035618,55,59,103,69,84,92
2026-08-11T06:43:59.088719,52,57,104,68,84,92
2026-08-11T06:43:59.142362,55,59,109,72,88,96
2026-08-11T06:43:59.192386,51,53,108,68,88,93
2026-08-11T06:43:59.243944,48,52,106,66,87,92
2026-08-11T06:43:59.294132,50,51,105,66,88,93
2026-08-11T06:43:59.359754,47,48,102,63,86,89
2026-08-11T06:43:59.411808,47,50,101,63,86,89
2026-08-11T06:43:59.464133,47,49,96,61,84,86
2026-08-11T06:43:59.514821,47,50,96,61,84,86
2026-08-11T06:43:59.566467,46,49,96,61,83,86
2026-08-11T06:43:59.625310,46,49,96,61,84,87
2026-08-11T06:43:59.679261,47,50,96,61,84,86
2026-08-11T06:43:59.729524,47,49,96,61,84,86
2026-08-11T06:43:59.781789,46,49,95,61,84,86
2026-08-11T06:43:59.842378,46,49,96,61,84,86
2026-08-11T06:43:59.892451,46,49,96,62,84,86
2026-08-11T06:43:59.945356,46,49,96,61,84,87
2026-08-11T06:43:59.998453,46,49,95,61,84,86
2026-08-11T06:44:00.051619,46,47,93,60,83,85
2026-08-11T06:44:00.108549,42,45,86,56,79,79
2026-08-11T06:44:00.162587,41,43,77,53,74,74
