timestamp,sensor_0,sensor_1,sensor_2,sensor_3,sensor_4,sensor_5
2026-08-18T15:56:45.026286,55,53,156,156,54,52,0
2026-08-18T15:56:45.027287,55,51,156,156,53,52,0
2026-08-18T15:56:45.027287,54,51,157,156,53,52,0
2026-08-18T15:56:45.027287,55,52,156,155,54,52,0
2026-08-18T15:56:45.028286,54,52,157,156,53,52,0
2026-08-18T15:56:45.028286,53,53,156,156,53,52,0
2026-08-18T15:56:45.028286,54,52,156,156,53,53,0
2026-08-18T15:56:45.940759,62,61,156,156,60,60,0
2026-08-18T15:56:45.944759,62,59,156,156,60,60,0
2026-08-18T15:56:45.945758,62,60,156,155,60,60,0
2026-08-18T15:56:45.946759,61,63,156,156,58,59,0
2026-08-18T15:56:45.948784,62,60,157,156,60,59,0
2026-08-18T15:56:45.949759,64,61,156,156,58,61,0
2026-08-18T15:56:45.949759,62,58,156,156,61,59,0
2026-08-18T15:56:45.953747,63,61,157,155,61,60,0
2026-08-18T15:56:45.953747,62,62,156,156,59,59,0
2026-08-18T15:56:45.954721,63,60,156,155,59,61,0
2026-08-18T15:56:45.957735,63,61,157,156,60,60,0
2026-08-18T15:56:45.957735,63,60,155,156,59,59,0
2026-08-18T15:56:45.957735,64,61,155,157,61,60,0
2026-08-18T15:56:45.961734,63,60,156,156,59,60,0
2026-08-18T15:56:45.961734,63,60,156,156,59,60,0
2026-08-18T15:56:45.961734,63,60,156,155,61,60,0
2026-08-18T15:56:45.964735,62,61,157,156,60,60,0
2026-08-18T15:56:45.966184,60,60,155,156,60,58,0
2026-08-18T15:56:45.966184,60,60,155,157,59,59,0
2026-08-18T15:56:45.969481,62,61,155,156,61,58,0
2026-08-18T15:56:45.970472,62,60,157,155,60,59,0
2026-08-18T15:56:45.970472,64,61,156,156,58,59,0
2026-08-18T15:56:45.973480,62,61,156,157,59,59,0
2026-08-18T15:56:45.974471,62,60,155,157,59,60,0
2026-08-18T15:56:45.974471,62,61,156,155,60,59,0
2026-08-18T15:56:45.977481,63,60,157,156,59,60,0
2026-08-18T15:56:45.978469,63,60,156,155,61,59,0
2026-08-18T15:56:45.979469,63,61,156,156,59,59,0
2026-08-18T15:56:45.981482,63,60,156,156,60,59,0
2026-08-18T15:56:45.981482,62,60,155,157,60,60,0
2026-08-18T15:56:45.982822,63,60,156,156,60,59,0
2026-08-18T15:56:45.985680,62,61,155,156,60,60,0
2026-08-18T15:56:45.986664,62,60,156,157,58,61,0
2026-08-18T15:56:45.986664,63,61,156,156,58,60,0
2026-08-18T15:56:45.989677,63,60,156,155,60,60,0
2026-08-18T15:56:45.990663,62,59,155,156,60,59,0
2026-08-18T15:56:45.990663,62,61,156,156,61,58,0
2026-08-18T15:56:45.993677,61,60,155,156,60,60,0
2026-08-18T15:56:45.994662,64,60,156,155,61,61,0
2026-08-18T15:56:45.994662,63,61,156,156,60,58,0
2026-08-18T15:56:45.998670,62,60,157,157,59,59,0
2026-08-18T15:56:45.998670,62,60,155,157,59,60,0
2026-08-18T15:56:45.999581,63,60,156,156,60,59,0
2026-08-18T15:56:46.002456,61,59,155,157,60,58,0
2026-08-18T15:56:46.002456,62,60,156,156,59,59,0
2026-08-18T15:56:46.003446,61,62,157,155,60,59,0
2026-08-18T15:56:46.006455,62,60,156,156,59,60,0
2026-08-18T15:56:46.006455,63,59,156,155,60,58,0
2026-08-18T15:56:46.007448,61,61,156,156,59,60,0
