id,A0,A1,A2,A3,A4,A5
0,142.7058823529412,184.96249506514016,174.8223450454007,180.24476904855902,140.94788787998422,203.51756810106593
1,146.59780356402817,192.68068794032325,182.85288023207625,188.32262743472856,143.7948611686697,212.21031910484874
2,149.89408569704284,202.6560048280024,192.946891973446,195.97585998793,145.42395896197948,221.67712733856368
3,152.8981204613413,210.219350704827,199.1298590346006,199.53374626228108,146.8579666809056,227.68111917983768
4,152.2133984028394,207.8256433007986,196.08562555456965,196.66237799467612,145.96362023070097,224.97249334516414
5,148.66915342199155,197.80408692831656,185.9182614336685,188.02594875121636,143.09309114498865,215.39831333117093
6,145.58876241220634,187.7972874788084,175.36473722450955,179.09760232501816,141.34439331557277,205.70791959312183
7,143.77041602465331,181.38760486218112,170.69217599726073,175.99760315014552,140.68070535867147,201.39291217257318
8,145.05624880015358,184.0790938759839,175.95027836436935,181.1833365329238,142.81205605682473,206.17738529468227
9,148.68254221089518,193.3759158967824,187.48486779229054,191.48375278751195,146.6874800892004,216.97228416693216
10,152.88664273568864,203.81976194974496,198.3387492915171,200.6221424522955,150.68921216701304,227.56716417910448
11,153.46864799862567,208.39683903109432,200.37948806047072,200.76773750214738,151.0814293076791,229.4167668785432
12,151.2959323583181,204.18784277879342,193.76759597806216,194.5438756855576,149.21777879341866,223.1396252285192
13,147.2939073439595,194.3411291523909,182.61418143899897,185.32936094145688,146.2992700729927,212.75659168777
14,142.9622791660035,183.61419703963074,171.93426706987108,177.30335826834315,142.91628203087697,202.61738023237308
15,142.1420437057556,181.39812249923054,171.10464758387195,178.39812249923054,142.39642967066789,202.21652816251154
16,141.0,181.0,168.0,180.0,140.0,201.0
17,146.34887459807075,189.20032154340836,180.63376205787782,188.30739549839228,145.9112540192926,212.1485530546624
18,151.3824370709382,201.95823798627003,193.00257437070937,200.17591533180777,149.63186498855836,224.40560640732267
19,153.97433460076044,209.63830798479088,199.72576045627378,205.9990494296578,151.18821292775667,230.86169201520912
20,153.25796696906258,209.57338916026984,198.24307978599674,203.39148639218422,149.11304954640613,229.06396836473598
21,149.303712720633,200.7288496652465,188.7900182592818,194.3368837492392,144.71089470480828,219.47413268411444
22,143.63306068099678,188.26612136199353,176.53129161118508,183.33669393190033,139.89651892714477,207.16891763363134
23,140.77476155539253,180.34409391049155,170.6678283198826,178.71643433602347,138.1177549523111,200.8141966250917
24,141.6876719867914,182.0305448541552,174.668409466153,182.26857457347276,139.55503577325263,203.90533847000552
25,146.66172229089412,193.30284301606923,187.2908941079522,192.98228265348166,144.35063864853728,215.76596621343222
26,151.22180146064377,205.3126859615905,199.46118474438734,202.24912090884501,148.57749526643224,226.8747633216121
27,152.8407960199005,210.0927182270466,203.53731343283582,203.16870194482135,149.98371777476254,230.09362279511532
28,149.23336968375136,202.979280261723,194.96128680479825,193.71919302071973,146.39749182115594,221.42748091603053
29,144.8633293603496,192.59078267779103,182.4481525625745,183.48867699642432,142.5176797775129,209.57171235597934
30,141.09534944141336,183.40659911665367,172.15146791374383,175.82229150428682,139.31098986749805,200.0605352039491
